file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2014_2015-M_M-D_D-B02_B02-3_3-R_R-01_0177_1300401_to_1307883,སླེབས་སོང་ད་ཨ་ཅག་འདི། ང་ནཱར་སྀ་ལགས་མ་རེད་ད། ག་རེ་བྱེད་ཀྱི་ཡོད་ལབ་སོང་ད་རཱ། ང་འོ་མ་ལེན་གར་འགྲོ་དུས་མདང་དགོང། ལབ་སོང་ད་རཱ། ཨ་ནས་རཱ། སོ་ཧྥ་སྒང་ནས་ ,slebs song da a cag 'di/_nga nAr s-i lags ma red da/_ga re byed kyi yod lab song da rA/_nga 'o ma len gar 'gro dus mdang dgong/_lab song da rA/_a nas rA/_so h+pha sgang nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2014_2015-M_M-D_D-B02_B02-3_3-R_R-01_0177_1300401_to_1307883.wav,STT_CS,3,144,7.482,wav16k/STT_CS-L-2014_2015-M_M-D_D-B02_B02-3_3-R_R-01_0177_1300401_to_1307883.wav,ླབ་སོང་ད་ཨ་ཅག་དེ། ང་ནཱར་སྀ་ལགས་མ་རེད་ད། ག་རེ་བྱེད་ཀྱི་ཡོད། ལབ་སོང་ད་རཱ། འོ་མ་ལེན་གར་འགྲོ་དུས་མདང་དགོལབ་སོང་ད་རཱ། ཨ་ནས་རཱ། སག་་སྒང་ན།
STT_CS-L-2014_2015-M_M-D_D-B02_B02-3_3-R_R-01_0180_1322346_to_1329991,ལབ་དང་། ངས་གཞས་གཅིག་བཏང་དགོས་བེ། ཨོ། ང་ཚོ་ལ་ཨ་ཅག་གིས་བསླབ་སོང་ད་ཡང་ལོ། ཨོ་དེ་རཱ། འདི་ད་ག་རེ།  ,lab dang /_ngas gzhas gcig btang dgos be/_o/_nga tsho la a cag gis bslab song da yang lo/_o de rA/_'di da ga re/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2014_2015-M_M-D_D-B02_B02-3_3-R_R-01_0180_1322346_to_1329991.wav,STT_CS,3,94,7.645,wav16k/STT_CS-L-2014_2015-M_M-D_D-B02_B02-3_3-R_R-01_0180_1322346_to_1329991.wav,ལབ་དང་། ང་ཚོ་གཞས་གཅིག་བཏང་དགོས་ཡོད། ོ། ང་ཚོ་ལ་ཨ་ཅག་ིས་སླབ་སོང་ད་ཡང་ལོ། འོ་དེ་རཱ། འདི་རེད་ད་གེ།
STT_CS-L-2011_2011-P_P-D_D-B04_B05-5_5-R_R-01_0031_268387_to_274974,ཨ། ཁོ་ཚོ་ཕར་འདུག་འདིར། ཁོ་ཚོ་ཨ། ཁོ་ཚོ་མ་རེད་ཤག ཁོ་ཚོ་མི་འདུག་ད། ང་ཚོ་སྒང་ཚང་གྲོགས་པོ་འཆམ་པོ་ཡོད།  ,a/_kho tsho phar 'dug 'dir/_kho tsho a/_kho tsho ma red shag_kho tsho mi 'dug da/_nga tsho sgang tshang grogs po 'cham po yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2011_2011-P_P-D_D-B04_B05-5_5-R_R-01_0031_268387_to_274974.wav,STT_CS,3,98,6.587,wav16k/STT_CS-L-2011_2011-P_P-D_D-B04_B05-5_5-R_R-01_0031_268387_to_274974.wav,ཨ།ཁོང་ཚོ་ཕར་འདུ་འདི། ཁོ་ཚོ། ཁོང་ཚོ་མར་རེད་ཤག ཁོང་ཚོ་མི་འདུག་ད། ང་ཚོ་གང་ཚང་གྲོགས་པོ་འཆེན་པོ་ཡོད།
STT_MV0936_0188_1472444_to_1481335,གཏེ་ཕྲུག་དེ་གྱོང་པོ་ཡོད་རེད་ད། ཨ་མ་ལགས། མ་གཞི་བྱས་ན་དྲག་རྩལ་ཞེ་དྲག་ཡོད་མ་རེད། ཡིན་ནས་སྦྱང་ཆོག་གི་རེད་བ། དེ་ཧ་ལས་རྒྱུ་ག་རེ་ཡོད་རེད།  ,gte phrug de gyong po yod red da/_a ma lags/_ma gzhi byas na drag rtsal zhe drag yod ma red/_yin nas sbyang chog gi red ba/_de ha las rgyu ga re yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0936_0188_1472444_to_1481335.wav,STT_MV,3,132,8.891,wav16k/STT_MV0936_0188_1472444_to_1481335.wav,གཏེ་ཕྲུག་འདེ་གྱོང་པོ་ཡོད་རེད་ད་ཨ་མ་ལགས། མ་གཞི་བྱས་ན་དྲག་རྩལ་ཞེ་དྲག་ཡོད་མ་རེད། ཡིན་ནས་སྦྱང་ཆོག་གི་རེད་པ། འདིར་ཧ་ལས་རྒྱུ་ག་རེ་ཡོད་རེད།
STT_MV0909_0089_536822_to_538450,ཧ་ཧ་ཧ་ པ་ཕ།  ,ha ha ha _pa pha/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0909_0089_536822_to_538450.wav,STT_MV,3,13,1.628,wav16k/STT_MV0909_0089_536822_to_538450.wav,ཧ་ཧ། པ་ཕ།
STT_NS_M0293_0295_2368594_to_2371195,ཡིད་དགའ་ཆོས་གླིང་ལ་གཞིས་ཆགས་བུ་གུ་མང་ང་འདྲ་བོ་སླེབས་ཀི་རེད་ད་ཡོད་བ་ཨེ་ནས།  ,yid dga' chos gling la gzhis chags bu gu mang nga 'dra bo slebs ki red da yod ba e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0293_0295_2368594_to_2371195.wav,STT_NS,3,75,2.601,wav16k/STT_NS_M0293_0295_2368594_to_2371195.wav,ཡི་དགར་ཆུ་གླིང་ལ་གཞིས་ཆགས་བུ་གུ་མང་ང་འདྲ་བོ་སླེབས་ཀི་རེད་ད་ཡོད་བ། ཨ་ནས།
STT_CS-L-2014_2015-M_M-D_D-B02_B02-3_3-R_R-01_0179_1315435_to_1322158,འོ། གལ་ཡོད་མ་རེད། ཨེ་འདྲའི་བསྡད་དགོས། ཇོ་ཇོ་སླེབས་ཀྱི་རཱ། ཨེ་ནས་ལབ་དགོས། ཨ་ནས་རཱ། ཨོང། ཇོ་ཇོ་ག་བ། ཧ་གོ་མ་སོང།  ,'o/_gal yod ma red/_e 'dra'i bsdad dgos/_jo jo slebs kyi rA/_e nas lab dgos/_a nas rA/_ong/_jo jo ga ba/_ha go ma song/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2014_2015-M_M-D_D-B02_B02-3_3-R_R-01_0179_1315435_to_1322158.wav,STT_CS,3,111,6.723,wav16k/STT_CS-L-2014_2015-M_M-D_D-B02_B02-3_3-R_R-01_0179_1315435_to_1322158.wav,འོ།ང་ག་རེ་ཡོད་མ་རེད། ཨ་ད་བསྡད་། ཇོ་ཇོ་སླེབས་དོག་ཨེ་ནས་ལོ། ཨ་ནས་རཱ། འོ། ཇོ་ཇོ་ག་བ། ཧ་གོ་མ་སོང་།
STT_MV0255_0243_1802497_to_1809094,དགྲ་བོས་ལྐོག་འཐེན་ཐབས་ཇུས་ལ་བརྟེན་བྱས། འགོག་སྲུང་བྱེད་ཀིས། དམག་དཔུང་ཆེ་གྲལ་གིས་རི་རྩེ་ཁག་བཟུམ་བསྡད་ཤག ཁོ་ཚོ་དཔུང་སྣོན་དམག་སྒུག་བསྡད་ཡོད་པ་འདྲ།  ,dgra bos lkog 'then thabs jus la brten byas/_'gog srung byed kis/_dmag dpung che gral gis ri rtse khag bzum bsdad shag_kho tsho dpung snon dmag sgug bsdad yod pa 'dra/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0255_0243_1802497_to_1809094.wav,STT_MV,3,144,6.597,wav16k/STT_MV0255_0243_1802497_to_1809094.wav,དགྲ་བོས་ལྐོག་ལྡེའི་ཐབས་ཇུས་བརྟེན་བྱས་འྒོག་སྲུང་བྱེད་ཀིས། དམག་དཔུང་ཆི་གྲས་ཀིས་རི་རྩི་ཁ་ཟིན་བསྡད་ཤག ཁོང་ཚོས་དཔུང་ྣན་དམག་སྒུག་བསྡད་ཡོད་པ་འདྲ།
STT_NS_M0368_0398_2690151_to_2695413,མི་ཚང་མ་རེད་ད། ཡིན་ན་ཡང་དམིགས་བསལ་གཞོན་སྐྱེས་དེ་ཚོ་ལ་དཔེ་དཀའ་ངལ་ཤུགས་ཆེན་པོ་སྤྲད་ཀི་ཡོད་རེད་རཱ། ག་བྱས་ན།  ,mi tshang ma red da/_yin na yang dmigs bsal gzhon skyes de tsho la dpe dka' ngal shugs chen po sprad ki yod red rA/_ga byas na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0368_0398_2690151_to_2695413.wav,STT_NS,3,106,5.262,wav16k/STT_NS_M0368_0398_2690151_to_2695413.wav,མི་ཚང་མ་རེད་ད་ཡིན་ན་ཡང་དམིགས་བསལ་གཞོན་སྐྱེས་དེ་ཚོ་ལ་དཔེ་དཀའ་ངལ་ཤུགས་ཆེན་པོ་སྤྲད་ཀི་ཡོད་རེད་རཱ། ག་བྱས་ན་བ།
STT_NS_M0368_0423_2885247_to_2888916,ཨེ་ནས་ད་གཅིག་སོ་སོ་ལ་ག་རེ་གྱོང་ཡོད་རེད་ལབ་ན་ལབ་ཡིན་ད་རཱ།  ,e nas da gcig so so la ga re gyong yod red lab na lab yin da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0368_0423_2885247_to_2888916.wav,STT_NS,3,58,3.669,wav16k/STT_NS_M0368_0423_2885247_to_2888916.wav,ཨེ་ནས་ད་གཅིག་སོ་སོ་ལ་ག་རེ་གྱོང་ཡོད་རེད་ལབ་ན་ལབ་ཡིན་ད་རཱ།
